Tweets,id tweets,date tweets,username,id user,quote count,reply count,retweet count,favorite count,url tweets
@duniabulat5 @CNNIndonesia Nk musim kemarau panjang hampir hutan di jatim kebakaran tiap tahunnya. Savana bromo jg kebakar tiap tahun tp pas penghujan bikin mata takjub,1.69924796937845E+018,2023-09-06 02:27:41+00:00,sugikchan,7.60376195493994E+017,0,0,0,2,https://twitter.com/sugikchan/status/1699247969378451458
Seng prewed sampek ngarai kebakaran nang bromo Disumpahi wong akeh sampean mbak mas.. Wes kukuse sampek sak kecamatan Ora iso ngeramban..,1.69944624293229E+018,2023-09-06 15:35:33+00:00,orange_puppy331,1.32816744778697E+018,0,0,0,0,https://twitter.com/orange_puppy331/status/1699446242932297957
Kakeane kebakaran bromo wes dipadamke seminggu iki malah mau awan diobong wong prewed. Asw,1.69947419273398E+018,2023-09-06 17:26:36+00:00,andriawan98,438039847,0,0,0,0,https://twitter.com/andriawan98/status/1699474192733987044
"Kenapa kemping di Savana Bromo dilarang? Ya karena ini, rawan kebakaran. Beberapa tahun lalu udah kejadian kebakaran yg disinyalir dari aktivitas kemping. Terus sekarang kejadian karena flare begini. Dan parahnya lagi, Bromo baru dibuka sehari setelah sebelumnya kebakaran.",1.69951756742844E+018,2023-09-06 20:18:58+00:00,brigittasiw,303627559,0,1,0,1,https://twitter.com/brigittasiw/status/1699517567428444210
@infomitigasi @RadioElshinta @KementerianLHK Kalau TNBTS keseluruhan berapa min ?? Kan BROMO TENGGER SEMERU jadi 1 kesatuan n pengelolanya sama.. soalnya setau saya kemarin ada pengumuman kebakaran di gunung pananjakan dan semeru juga,1.69956973579572E+018,2023-09-06 23:46:16+00:00,tamiya_mf01x,1.67414005005616E+018,0,0,0,0,https://twitter.com/tamiya_mf01x/status/1699569735795724339
"Yg bikin bromo kebakaran jahat banget, padahal dulu seindah ini 😭.  Sedih banget tempat favorit aku hangus karna ulah manusia manusia lalai.",1.69978498275415E+018,2023-09-07 14:01:35+00:00,poempathic,1.50434300182046E+018,0,0,0,1,https://twitter.com/poempathic/status/1699784982754156609
"Upaya pemadaman masih dilakukan hingga Kamis siang ini (7/9/2023). Tidak ada laporan korban, tetapi kebakaran menyebabkan sebagian wilayah sabana Bromo hangus. Sementara itu, pihak berwenang sedang menindaklanjuti para pelaku.  Mohon doanya teman-teman biar api lekas padam. 😢🤲",1.6997851836487E+018,2023-09-07 14:02:22+00:00,infipopid,1.6540762843965E+018,0,0,1,1,https://twitter.com/infipopid/status/1699785183648702665
"setelah bikin kebakaran bromo, masih diposting dong. 🙈",1.69978560536501E+018,2023-09-07 14:04:03+00:00,Fatin_foto,630226596,0,2,0,0,https://twitter.com/Fatin_foto/status/1699785605365010891
"@alexjourneyID landscape Bromo kurang bagus gimana sih? pake ditambahin flare gitu tambah lebay yg ada, malah jadi kebakaran itu akibat ulah lu.. foto tinggal diem gapake asap gitu apa susahnya sih, heran. gue pengen banget ke Bromo belum keturutan, sekarang malah kebakaran.",1.69978754284822E+018,2023-09-07 14:11:45+00:00,no1knoowwss,1.06806741644849E+018,0,0,0,2,https://twitter.com/no1knoowwss/status/1699787542848221477
"@tanyarlfes salfok, ak drtd tuh nyari di video mana bukti ada teletubbies di gn bromo yg kebakaran ternyata judulnya yg typo anjg hrsnya BUKIT",1.69978791220289E+018,2023-09-07 14:13:13+00:00,aeternityou,1.53128071432638E+018,0,0,0,0,https://twitter.com/aeternityou/status/1699787912202895523
