Unnamed: 0,Tweets,date tweets,Sentimen,remove_user,cleaning,case_folding,tokenisasi,normalisasi,stopword_removal,stemming,to_sentence
0,@duniabulat5 @CNNIndonesia Nk musim kemarau panjang hampir hutan di jatim kebakaran tiap tahunnya. Savana bromo jg kebakar tiap tahun tp pas penghujan bikin mata takjub,2023-09-06 02:27:41+00:00,2,  Nk musim kemarau panjang hampir hutan di jatim kebakaran tiap tahunnya. Savana bromo jg kebakar tiap tahun tp pas penghujan bikin mata takjub, musim kemarau panjang hampir hutan jatim kebakaran tiap tahunnya Savana bromo kebakar tiap tahun pas penghujan bikin mata takjub, musim kemarau panjang hampir hutan jatim kebakaran tiap tahunnya savana bromo kebakar tiap tahun pas penghujan bikin mata takjub,"['musim', 'kemarau', 'panjang', 'hampir', 'hutan', 'jatim', 'kebakaran', 'tiap', 'tahunnya', 'savana', 'bromo', 'kebakar', 'tiap', 'tahun', 'pas', 'penghujan', 'bikin', 'mata', 'takjub']","['musim', 'kemarau', 'panjang', 'hampir', 'hutan', 'jatim', 'kebakaran', 'tiap', 'tahunnya', 'savana', 'bromo', 'kebakar', 'tiap', 'tahun', 'pas', 'penghujan', 'bikin', 'mata', 'takjub']","['musim', 'kemarau', 'hutan', 'jatim', 'kebakaran', 'tahunnya', 'savana', 'bromo', 'kebakar', 'pas', 'penghujan', 'bikin', 'mata', 'takjub']","['musim', 'kemarau', 'hutan', 'jatim', 'bakar', 'tahun', 'savana', 'bromo', 'bakar', 'pas', 'hujan', 'bikin', 'mata', 'takjub']",musim kemarau hutan jatim bakar tahun savana bromo bakar pas hujan bikin mata takjub
1,Seng prewed sampek ngarai kebakaran nang bromo Disumpahi wong akeh sampean mbak mas.. Wes kukuse sampek sak kecamatan Ora iso ngeramban..,2023-09-06 15:35:33+00:00,1,Seng prewed sampek ngarai kebakaran nang bromo Disumpahi wong akeh sampean mbak mas.. Wes kukuse sampek sak kecamatan Ora iso ngeramban..,Seng prewed sampek ngarai kebakaran nang bromo Disumpahi wong akeh sampean mbak mas Wes kukuse sampek sak kecamatan Ora iso ngeramban ,seng prewed sampek ngarai kebakaran nang bromo disumpahi wong akeh sampean mbak mas wes kukuse sampek sak kecamatan ora iso ngeramban ,"['seng', 'prewed', 'sampek', 'ngarai', 'kebakaran', 'nang', 'bromo', 'disumpahi', 'wong', 'akeh', 'sampean', 'mbak', 'mas', 'wes', 'kukuse', 'sampek', 'sak', 'kecamatan', 'ora', 'iso', 'ngeramban']","['seng', 'prewed', 'sampai', 'ngarai', 'kebakaran', 'nang', 'bromo', 'disumpahi', 'wong', 'akeh', 'sampean', 'mbak', 'mas', 'wes', 'kukuse', 'sampai', 'sak', 'kecamatan', 'ora', 'iso', 'ngeramban']","['seng', 'prewed', 'ngarai', 'kebakaran', 'nang', 'bromo', 'disumpahi', 'akeh', 'sampean', 'mbak', 'mas', 'wes', 'kukuse', 'sak', 'kecamatan', 'ora', 'iso', 'ngeramban']","['seng', 'prewed', 'ngarai', 'bakar', 'nang', 'bromo', 'sumpah', 'akeh', 'sampean', 'mbak', 'mas', 'wes', 'kukuse', 'sak', 'camat', 'ora', 'iso', 'ngeramban']",seng prewed ngarai bakar nang bromo sumpah akeh sampean mbak mas wes kukuse sak camat ora iso ngeramban
2,Kakeane kebakaran bromo wes dipadamke seminggu iki malah mau awan diobong wong prewed. Asw,2023-09-06 17:26:36+00:00,1,Kakeane kebakaran bromo wes dipadamke seminggu iki malah mau awan diobong wong prewed. Asw,Kakeane kebakaran bromo wes dipadamke seminggu iki malah mau awan diobong wong prewed Asw,kakeane kebakaran bromo wes dipadamke seminggu iki malah mau awan diobong wong prewed asw,"['kakeane', 'kebakaran', 'bromo', 'wes', 'dipadamke', 'seminggu', 'iki', 'malah', 'mau', 'awan', 'diobong', 'wong', 'prewed', 'asw']","['kakeane', 'kebakaran', 'bromo', 'wes', 'dipadamke', 'seminggu', 'iki', 'malah', 'mau', 'awan', 'diobong', 'wong', 'prewed', 'asw']","['kakeane', 'kebakaran', 'bromo', 'wes', 'dipadamke', 'seminggu', 'iki', 'awan', 'diobong', 'prewed', 'asw']","['kakeane', 'bakar', 'bromo', 'wes', 'dipadamke', 'minggu', 'iki', 'awan', 'diobong', 'prewed', 'asw']",kakeane bakar bromo wes dipadamke minggu iki awan diobong prewed asw
3,"Kenapa kemping di Savana Bromo dilarang? Ya karena ini, rawan kebakaran. Beberapa tahun lalu udah kejadian kebakaran yg disinyalir dari aktivitas kemping. Terus sekarang kejadian karena flare begini. Dan parahnya lagi, Bromo baru dibuka sehari setelah sebelumnya kebakaran.",2023-09-06 20:18:58+00:00,1,"Kenapa kemping di Savana Bromo dilarang? Ya karena ini, rawan kebakaran. Beberapa tahun lalu udah kejadian kebakaran yg disinyalir dari aktivitas kemping. Terus sekarang kejadian karena flare begini. Dan parahnya lagi, Bromo baru dibuka sehari setelah sebelumnya kebakaran.",Kenapa kemping Savana Bromo dilarang karena ini rawan kebakaran Beberapa tahun lalu udah kejadian kebakaran disinyalir dari aktivitas kemping Terus sekarang kejadian karena flare begini Dan parahnya lagi Bromo baru dibuka sehari setelah sebelumnya kebakaran ,kenapa kemping savana bromo dilarang karena ini rawan kebakaran beberapa tahun lalu udah kejadian kebakaran disinyalir dari aktivitas kemping terus sekarang kejadian karena flare begini dan parahnya lagi bromo baru dibuka sehari setelah sebelumnya kebakaran ,"['kenapa', 'kemping', 'savana', 'bromo', 'dilarang', 'karena', 'ini', 'rawan', 'kebakaran', 'beberapa', 'tahun', 'lalu', 'udah', 'kejadian', 'kebakaran', 'disinyalir', 'dari', 'aktivitas', 'kemping', 'terus', 'sekarang', 'kejadian', 'karena', 'flare', 'begini', 'dan', 'parahnya', 'lagi', 'bromo', 'baru', 'dibuka', 'sehari', 'setelah', 'sebelumnya', 'kebakaran']","['kenapa', 'kemping', 'savana', 'bromo', 'dilarang', 'karena', 'ini', 'rawan', 'kebakaran', 'beberapa', 'tahun', 'lalu', 'sudah', 'kejadian', 'kebakaran', 'disinyalir', 'dari', 'aktivitas', 'kemping', 'terus', 'sekarang', 'kejadian', 'karena', 'flare', 'begini', 'dan', 'parahnya', 'lagi', 'bromo', 'baru', 'dibuka', 'sehari', 'setelah', 'sebelumnya', 'kebakaran']","['kemping', 'savana', 'bromo', 'dilarang', 'rawan', 'kebakaran', 'kejadian', 'kebakaran', 'disinyalir', 'aktivitas', 'kemping', 'kejadian', 'flare', 'parahnya', 'bromo', 'dibuka', 'sehari', 'kebakaran']","['kemping', 'savana', 'bromo', 'larang', 'rawan', 'bakar', 'jadi', 'bakar', 'sinyalir', 'aktivitas', 'kemping', 'jadi', 'flare', 'parah', 'bromo', 'buka', 'hari', 'bakar']",kemping savana bromo larang rawan bakar jadi bakar sinyalir aktivitas kemping jadi flare parah bromo buka hari bakar
4,@infomitigasi @RadioElshinta @KementerianLHK Kalau TNBTS keseluruhan berapa min ?? Kan BROMO TENGGER SEMERU jadi 1 kesatuan n pengelolanya sama.. soalnya setau saya kemarin ada pengumuman kebakaran di gunung pananjakan dan semeru juga,2023-09-06 23:46:16+00:00,2,   Kalau TNBTS keseluruhan berapa min ?? Kan BROMO TENGGER SEMERU jadi 1 kesatuan n pengelolanya sama.. soalnya setau saya kemarin ada pengumuman kebakaran di gunung pananjakan dan semeru juga, Kalau TNBTS keseluruhan berapa min Kan BROMO TENGGER SEMERU jadi kesatuan pengelolanya sama soalnya setau saya kemarin ada pengumuman kebakaran gunung pananjakan dan semeru juga, kalau tnbts keseluruhan berapa min kan bromo tengger semeru jadi kesatuan pengelolanya sama soalnya setau saya kemarin ada pengumuman kebakaran gunung pananjakan dan semeru juga,"['kalau', 'tnbts', 'keseluruhan', 'berapa', 'min', 'kan', 'bromo', 'tengger', 'semeru', 'jadi', 'kesatuan', 'pengelolanya', 'sama', 'soalnya', 'setau', 'saya', 'kemarin', 'ada', 'pengumuman', 'kebakaran', 'gunung', 'pananjakan', 'dan', 'semeru', 'juga']","['kalau', 'tnbts', 'keseluruhan', 'berapa', 'min', 'kan', 'bromo', 'tengger', 'semeru', 'jadi', 'kesatuan', 'pengelolanya', 'sama', 'soalnya', 'setau', 'saya', 'kemarin', 'ada', 'pengumuman', 'kebakaran', 'gunung', 'pananjakan', 'dan', 'semeru', 'juga']","['tnbts', 'min', 'bromo', 'tengger', 'semeru', 'kesatuan', 'pengelolanya', 'setau', 'kemarin', 'pengumuman', 'kebakaran', 'gunung', 'pananjakan', 'semeru']","['tnbts', 'min', 'bromo', 'tengger', 'meru', 'satu', 'kelola', 'tau', 'kemarin', 'umum', 'bakar', 'gunung', 'pananjakan', 'meru']",tnbts min bromo tengger meru satu kelola tau kemarin umum bakar gunung pananjakan meru
5,"Yg bikin bromo kebakaran jahat banget, padahal dulu seindah ini 😭.  Sedih banget tempat favorit aku hangus karna ulah manusia manusia lalai.",2023-09-07 14:01:35+00:00,1,"Yg bikin bromo kebakaran jahat banget, padahal dulu seindah ini 😭.  Sedih banget tempat favorit aku hangus karna ulah manusia manusia lalai.", bikin bromo kebakaran jahat banget padahal dulu seindah ini Sedih banget tempat favorit aku hangus karna ulah manusia manusia lalai , bikin bromo kebakaran jahat banget padahal dulu seindah ini sedih banget tempat favorit aku hangus karna ulah manusia manusia lalai ,"['bikin', 'bromo', 'kebakaran', 'jahat', 'banget', 'padahal', 'dulu', 'seindah', 'ini', 'sedih', 'banget', 'tempat', 'favorit', 'aku', 'hangus', 'karna', 'ulah', 'manusia', 'manusia', 'lalai']","['bikin', 'bromo', 'kebakaran', 'jahat', 'banget', 'padahal', 'dulu', 'seindah', 'ini', 'sedih', 'banget', 'tempat', 'favorit', 'aku', 'hangus', 'karena', 'ulah', 'manusia', 'manusia', 'lalai']","['bikin', 'bromo', 'kebakaran', 'jahat', 'banget', 'seindah', 'sedih', 'banget', 'favorit', 'hangus', 'ulah', 'manusia', 'manusia', 'lalai']","['bikin', 'bromo', 'bakar', 'jahat', 'banget', 'indah', 'sedih', 'banget', 'favorit', 'hangus', 'ulah', 'manusia', 'manusia', 'lalai']",bikin bromo bakar jahat banget indah sedih banget favorit hangus ulah manusia manusia lalai
6,"Upaya pemadaman masih dilakukan hingga Kamis siang ini (7/9/2023). Tidak ada laporan korban, tetapi kebakaran menyebabkan sebagian wilayah sabana Bromo hangus. Sementara itu, pihak berwenang sedang menindaklanjuti para pelaku.  Mohon doanya teman-teman biar api lekas padam. 😢🤲",2023-09-07 14:02:22+00:00,3,"Upaya pemadaman masih dilakukan hingga Kamis siang ini (7/9/2023). Tidak ada laporan korban, tetapi kebakaran menyebabkan sebagian wilayah sabana Bromo hangus. Sementara itu, pihak berwenang sedang menindaklanjuti para pelaku.  Mohon doanya teman-teman biar api lekas padam. 😢🤲",Upaya pemadaman masih dilakukan hingga Kamis siang ini Tidak ada laporan korban tetapi kebakaran menyebabkan sebagian wilayah sabana Bromo hangus Sementara itu pihak berwenang sedang menindaklanjuti para pelaku Mohon doanya teman teman biar api lekas padam ,upaya pemadaman masih dilakukan hingga kamis siang ini tidak ada laporan korban tetapi kebakaran menyebabkan sebagian wilayah sabana bromo hangus sementara itu pihak berwenang sedang menindaklanjuti para pelaku mohon doanya teman teman biar api lekas padam ,"['upaya', 'pemadaman', 'masih', 'dilakukan', 'hingga', 'kamis', 'siang', 'ini', 'tidak', 'ada', 'laporan', 'korban', 'tetapi', 'kebakaran', 'menyebabkan', 'sebagian', 'wilayah', 'sabana', 'bromo', 'hangus', 'sementara', 'itu', 'pihak', 'berwenang', 'sedang', 'menindaklanjuti', 'para', 'pelaku', 'mohon', 'doanya', 'teman', 'teman', 'biar', 'api', 'lekas', 'padam']","['upaya', 'pemadaman', 'masih', 'dilakukan', 'hingga', 'kamis', 'siang', 'ini', 'tidak', 'ada', 'laporan', 'korban', 'tetapi', 'kebakaran', 'menyebabkan', 'sebagian', 'wilayah', 'sabana', 'bromo', 'hangus', 'sementara', 'itu', 'pihak', 'berwenang', 'sedang', 'menindaklanjuti', 'para', 'pelaku', 'mohon', 'doanya', 'teman', 'teman', 'biar', 'api', 'lekas', 'padam']","['upaya', 'pemadaman', 'kamis', 'siang', 'laporan', 'korban', 'kebakaran', 'menyebabkan', 'wilayah', 'sabana', 'bromo', 'hangus', 'berwenang', 'menindaklanjuti', 'pelaku', 'mohon', 'doanya', 'teman', 'teman', 'biar', 'api', 'lekas', 'padam']","['upaya', 'madam', 'kamis', 'siang', 'lapor', 'korban', 'bakar', 'sebab', 'wilayah', 'sabana', 'bromo', 'hangus', 'wenang', 'menindaklanjuti', 'laku', 'mohon', 'doa', 'teman', 'teman', 'biar', 'api', 'lekas', 'padam']",upaya madam kamis siang lapor korban bakar sebab wilayah sabana bromo hangus wenang menindaklanjuti laku mohon doa teman teman biar api lekas padam
7,"setelah bikin kebakaran bromo, masih diposting dong. 🙈",2023-09-07 14:04:03+00:00,1,"setelah bikin kebakaran bromo, masih diposting dong. 🙈",setelah bikin kebakaran bromo masih diposting dong ,setelah bikin kebakaran bromo masih diposting dong ,"['setelah', 'bikin', 'kebakaran', 'bromo', 'masih', 'diposting', 'dong']","['setelah', 'bikin', 'kebakaran', 'bromo', 'masih', 'diposting', 'dong']","['bikin', 'kebakaran', 'bromo', 'diposting']","['bikin', 'bakar', 'bromo', 'diposting']",bikin bakar bromo diposting
8,"@alexjourneyID landscape Bromo kurang bagus gimana sih? pake ditambahin flare gitu tambah lebay yg ada, malah jadi kebakaran itu akibat ulah lu.. foto tinggal diem gapake asap gitu apa susahnya sih, heran. gue pengen banget ke Bromo belum keturutan, sekarang malah kebakaran.",2023-09-07 14:11:45+00:00,1," landscape Bromo kurang bagus gimana sih? pake ditambahin flare gitu tambah lebay yg ada, malah jadi kebakaran itu akibat ulah lu.. foto tinggal diem gapake asap gitu apa susahnya sih, heran. gue pengen banget ke Bromo belum keturutan, sekarang malah kebakaran.", landscape Bromo kurang bagus gimana sih pake ditambahin flare gitu tambah lebay ada malah jadi kebakaran itu akibat ulah foto tinggal diem gapake asap gitu apa susahnya sih heran gue pengen banget Bromo belum keturutan sekarang malah kebakaran , landscape bromo kurang bagus gimana sih pake ditambahin flare gitu tambah lebay ada malah jadi kebakaran itu akibat ulah foto tinggal diem gapake asap gitu apa susahnya sih heran gue pengen banget bromo belum keturutan sekarang malah kebakaran ,"['landscape', 'bromo', 'kurang', 'bagus', 'gimana', 'sih', 'pake', 'ditambahin', 'flare', 'gitu', 'tambah', 'lebay', 'ada', 'malah', 'jadi', 'kebakaran', 'itu', 'akibat', 'ulah', 'foto', 'tinggal', 'diem', 'gapake', 'asap', 'gitu', 'apa', 'susahnya', 'sih', 'heran', 'gue', 'pengen', 'banget', 'bromo', 'belum', 'keturutan', 'sekarang', 'malah', 'kebakaran']","['landscape', 'bromo', 'kurang', 'bagus', 'bagaimana', 'sih', 'pakai', 'ditambahin', 'flare', 'begitu', 'tambah', 'lebay', 'ada', 'malah', 'jadi', 'kebakaran', 'itu', 'akibat', 'ulah', 'foto', 'tinggal', 'diam', 'enggak pakai', 'asap', 'begitu', 'apa', 'susahnya', 'sih', 'heran', 'gue', 'pengin', 'banget', 'bromo', 'belum', 'keturutan', 'sekarang', 'malah', 'kebakaran']","['landscape', 'bromo', 'bagus', 'pakai', 'ditambahin', 'flare', 'lebay', 'kebakaran', 'akibat', 'ulah', 'foto', 'tinggal', 'diam', 'enggak pakai', 'asap', 'susahnya', 'heran', 'gue', 'pengin', 'banget', 'bromo', 'keturutan', 'kebakaran']","['landscape', 'bromo', 'bagus', 'pakai', 'ditambahin', 'flare', 'lebay', 'bakar', 'akibat', 'ulah', 'foto', 'tinggal', 'diam', 'enggak pakai', 'asap', 'susah', 'heran', 'gue', 'pengin', 'banget', 'bromo', 'turut', 'bakar']",landscape bromo bagus pakai ditambahin flare lebay bakar akibat ulah foto tinggal diam enggak pakai asap susah heran gue pengin banget bromo turut bakar
9,"@tanyarlfes salfok, ak drtd tuh nyari di video mana bukti ada teletubbies di gn bromo yg kebakaran ternyata judulnya yg typo anjg hrsnya BUKIT",2023-09-07 14:13:13+00:00,2," salfok, ak drtd tuh nyari di video mana bukti ada teletubbies di gn bromo yg kebakaran ternyata judulnya yg typo anjg hrsnya BUKIT", salfok drtd tuh nyari video mana bukti ada teletubbies bromo kebakaran ternyata judulnya typo anjg hrsnya BUKIT, salfok drtd tuh nyari video mana bukti ada teletubbies bromo kebakaran ternyata judulnya typo anjg hrsnya bukit,"['salfok', 'drtd', 'tuh', 'nyari', 'video', 'mana', 'bukti', 'ada', 'teletubbies', 'bromo', 'kebakaran', 'ternyata', 'judulnya', 'typo', 'anjg', 'hrsnya', 'bukit']","['salah fokus', 'drtd', 'tuh', 'mencari', 'video', 'mana', 'bukti', 'ada', 'teletubbies', 'bromo', 'kebakaran', 'ternyata', 'judulnya', 'typo', 'anjg', 'harusnya', 'bukit']","['salah fokus', 'drtd', 'mencari', 'video', 'bukti', 'teletubbies', 'bromo', 'kebakaran', 'judulnya', 'typo', 'anjg', 'bukit']","['salah fokus', 'drtd', 'cari', 'video', 'bukti', 'teletubbies', 'bromo', 'bakar', 'judul', 'typo', 'anjg', 'bukit']",salah fokus drtd cari video bukti teletubbies bromo bakar judul typo anjg bukit
